assignment_id,week_id,week_start,week_end,nT,rotation_group,rotation_round,pharmacy_id,location_id,shift_type,access_mode,schedule_source
O000165,2026-W10,2026-03-02,2026-03-09,3,3,1,P0039,L0039,STANDARD,P,optimized_fairness_aware
O000166,2026-W10,2026-03-02,2026-03-09,3,3,1,P0040,L0040,STANDARD,P,optimized_fairness_aware
O000167,2026-W10,2026-03-02,2026-03-09,3,3,1,P0042,L0042,STANDARD,P,optimized_fairness_aware
O000168,2026-W10,2026-03-02,2026-03-09,3,3,1,P0043,L0043,STANDARD,P,optimized_fairness_aware
O000169,2026-W10,2026-03-02,2026-03-09,3,3,1,P0044,L0044,STANDARD,P,optimized_fairness_aware
O000170,2026-W10,2026-03-02,2026-03-09,3,3,1,P0045,L0045,STANDARD,P,optimized_fairness_aware
O000171,2026-W10,2026-03-02,2026-03-09,3,3,1,P0046,L0046,STANDARD,P,optimized_fairness_aware
O000172,2026-W10,2026-03-02,2026-03-09,3,3,1,P0048,L0048,STANDARD,P,optimized_fairness_aware
O000173,2026-W10,2026-03-02,2026-03-09,3,3,1,P0049,L0049,STANDARD,P,optimized_fairness_aware
O000174,2026-W10,2026-03-02,2026-03-09,3,3,1,P0050,L0050,STANDARD,P,optimized_fairness_aware
O000175,2026-W10,2026-03-02,2026-03-09,3,3,1,P0052,L0052,STANDARD,C,optimized_fairness_aware
O000176,2026-W10,2026-03-02,2026-03-09,3,3,1,P0053,L0053,STANDARD,P,optimized_fairness_aware
O000177,2026-W11,2026-03-09,2026-03-16,4,4,1,P0062,L0062,H24,P,optimized_fairness_aware
O000178,2026-W11,2026-03-09,2026-03-16,4,4,1,P0065,L0065,H24,P,optimized_fairness_aware
O000179,2026-W11,2026-03-09,2026-03-16,4,4,1,P0067,L0067,H24,P,optimized_fairness_aware
O000180,2026-W11,2026-03-09,2026-03-16,4,4,1,P0054,L0054,STANDARD,P,optimized_fairness_aware
O000181,2026-W11,2026-03-09,2026-03-16,4,4,1,P0055,L0124,STANDARD,P,optimized_fairness_aware
O000182,2026-W11,2026-03-09,2026-03-16,4,4,1,P0056,L0056,STANDARD,P,optimized_fairness_aware
O000183,2026-W11,2026-03-09,2026-03-16,4,4,1,P0057,L0057,STANDARD,P,optimized_fairness_aware
O000184,2026-W11,2026-03-09,2026-03-16,4,4,1,P0058,L0058,STANDARD,P,optimized_fairness_aware
O000185,2026-W11,2026-03-09,2026-03-16,4,4,1,P0059,L0059,STANDARD,P,optimized_fairness_aware
O000186,2026-W11,2026-03-09,2026-03-16,4,4,1,P0060,L0060,STANDARD,P,optimized_fairness_aware
O000187,2026-W11,2026-03-09,2026-03-16,4,4,1,P0061,L0061,STANDARD,P,optimized_fairness_aware
O000188,2026-W11,2026-03-09,2026-03-16,4,4,1,P0063,L0063,STANDARD,P,optimized_fairness_aware
O000189,2026-W11,2026-03-09,2026-03-16,4,4,1,P0064,L0064,STANDARD,P,optimized_fairness_aware
O000190,2026-W11,2026-03-09,2026-03-16,4,4,1,P0066,L0066,STANDARD,P,optimized_fairness_aware
O000191,2026-W11,2026-03-09,2026-03-16,4,4,1,P0068,L0068,STANDARD,P,optimized_fairness_aware
O000192,2026-W11,2026-03-09,2026-03-16,4,4,1,P0069,L0069,STANDARD,P,optimized_fairness_aware
O000193,2026-W11,2026-03-09,2026-03-16,4,4,1,P0070,L0070,STANDARD,C,optimized_fairness_aware
O000194,2026-W12,2026-03-16,2026-03-23,5,5,1,P0077,L0077,H24,P,optimized_fairness_aware
O000195,2026-W12,2026-03-16,2026-03-23,5,5,1,P0084,L0084,H24,P,optimized_fairness_aware
O000196,2026-W12,2026-03-16,2026-03-23,5,5,1,P0088,L0088,H24,P,optimized_fairness_aware
O000197,2026-W12,2026-03-16,2026-03-23,5,5,1,P0071,L0071,STANDARD,P,optimized_fairness_aware
